EFFICIENCY,IDLE,POWER,DAIMLER,YEARS
3.280,21.20,39.04,0,3
3.097,20.19,26.55,1,5
3.122,32.64,18.99,1,4
2.501,19.86,31.94,1,4
2.977,31.77,21.54,1,5
2.973,18.15,41.00,0,2
2.734,22.68,42.98,0,2
3.347,28.34,19.99,1,4
2.687,26.73,42.95,0,3
2.985,15.34,28.99,1,4
2.805,40.98,18.48,1,5
2.965,25.64,21.52,1,5
2.625,18.63,29.96,1,5
3.328,21.37,19.02,1,4
3.689,19.31,23.96,1,4
2.983,24.37,23.57,1,4
2.782,20.69,43.00,0,4
2.803,20.55,24.01,1,5
3.097,35.94,16.91,1,5
2.884,22.80,25.89,1,5
3.082,32.32,19.00,1,4
3.155,16.78,24.50,1,5
2.874,17.72,39.98,0,5
2.851,14.12,42.96,0,2
3.041,13.36,28.95,1,4
2.720,20.08,45.11,0,2
3.022,15.26,39.96,0,4
2.864,39.33,19.06,1,5
2.852,34.51,20.59,1,5
2.903,32.72,39.97,0,5
3.322,24.08,20.95,1,4
3.154,25.67,22.52,1,5
2.645,25.85,24.47,1,5
3.264,14.39,24.44,1,5
2.989,25.09,24.49,1,6
3.070,31.54,21.89,1,4
2.976,28.97,21.99,1,4
2.708,30.88,42.03,0,2
3.083,24.83,21.52,1,5
3.063,26.68,41.06,0,3
3.141,16.87,25.57,1,4
3.128,22.35,22.92,1,4
3.025,21.28,41.99,0,3
3.793,11.75,25.11,1,4
3.009,26.05,23.50,1,5
2.952,22.76,43.02,0,3
3.312,21.77,24.56,1,5
3.004,25.51,21.48,1,6
2.650,31.28,22.51,1,6
2.608,30.40,21.96,1,6
3.162,13.99,30.04,1,5
2.995,18.94,26.54,1,5
2.789,16.88,23.98,1,4
3.035,16.25,28.03,1,4
2.599,39.98,18.49,1,4
3.198,22.92,23.52,1,5
3.091,26.51,20.46,1,5
3.153,29.43,18.99,1,4
2.923,22.48,42.06,0,3
3.300,15.14,24.00,1,6
2.954,25.61,23.47,1,5
2.851,35.36,20.53,1,5
4.189,12.03,22.05,1,4
2.940,18.21,40.01,0,2
3.018,32.91,21.02,1,4
3.023,25.48,24.46,1,5
3.205,22.59,22.55,1,4
3.018,13.66,24.52,1,4
3.429,18.04,37.94,0,3
2.856,15.61,45.06,0,3
2.831,20.34,28.03,1,5
2.992,29.40,22.95,1,5
3.434,24.60,20.40,1,5
3.140,16.55,41.92,0,3
2.657,17.98,44.98,0,5
2.963,22.47,40.99,0,3
2.877,18.87,29.48,1,5
2.735,24.89,42.01,0,5
2.660,24.95,43.96,0,2
2.698,22.67,44.93,0,2
3.121,31.29,39.07,0,4
2.684,21.01,25.98,1,5
3.419,20.29,23.54,1,5
2.905,20.73,43.01,0,3
2.770,18.95,25.10,1,5
3.563,22.58,19.99,1,4
2.688,33.00,19.56,1,6
3.053,13.67,29.05,1,4
3.008,41.77,17.03,1,4
3.068,23.13,22.53,1,5
2.663,20.02,44.00,0,4
3.211,18.94,37.99,0,3
3.102,16.84,40.00,0,3
3.202,30.39,20.96,1,5
2.673,32.71,41.94,0,3
3.282,24.62,21.53,1,4
2.759,25.63,26.01,1,5
2.897,36.81,17.57,1,5
3.085,20.42,38.93,0,3
2.938,26.88,41.08,0,5
2.708,26.43,46.95,0,3
3.015,22.28,22.01,1,6
2.821,18.61,41.96,0,4
3.146,22.20,23.56,1,5
2.623,35.43,44.01,0,4
3.051,16.96,41.95,0,3
2.883,12.42,39.96,0,2
3.412,35.42,17.02,1,4
2.769,37.12,19.01,1,6
2.833,36.70,20.99,1,4
2.884,31.07,43.14,0,2
2.872,26.57,20.07,1,5
2.726,22.25,25.39,1,5
3.187,11.65,28.02,1,4
3.013,39.43,17.60,1,5
3.260,28.51,34.97,0,3
2.953,39.67,23.00,1,5
2.844,29.69,43.98,0,2
3.352,20.99,21.95,1,4
3.204,23.23,25.46,1,5
3.021,14.95,28.03,1,5
3.114,24.25,21.96,1,5
2.637,21.57,45.11,0,2
2.634,43.01,19.53,1,5
2.913,26.62,24.97,1,4
2.658,15.62,27.97,1,4
2.486,26.02,45.08,0,5
2.672,28.51,44.01,0,3
2.874,20.34,25.04,1,4
2.807,34.43,38.98,0,3
2.723,21.27,41.98,0,4
2.737,26.40,43.05,0,2
2.819,16.42,27.06,1,6
2.845,24.38,42.97,0,2
2.895,28.79,22.53,1,5
3.012,22.25,22.47,1,5
2.997,25.00,22.54,1,5
3.239,26.18,21.53,1,4
3.163,14.24,25.00,1,4
3.361,28.26,20.03,1,5
2.771,34.59,41.02,0,5
3.110,13.00,28.00,1,5
2.827,27.68,41.95,0,5
3.188,26.54,22.44,1,5
3.019,25.79,24.03,1,5
2.676,15.23,43.02,0,2
2.423,44.49,18.97,1,6
2.867,21.14,21.96,1,5
2.856,17.17,24.54,1,5
3.005,43.94,14.52,1,4
2.670,30.60,21.49,1,4
2.766,53.37,14.08,1,4
3.091,10.34,30.52,1,5
3.249,24.51,22.01,1,4
2.677,26.85,24.55,1,5
3.111,16.13,28.03,1,5
2.890,21.54,38.97,0,2
3.364,25.44,23.55,1,4
2.626,20.03,43.01,0,5
3.278,32.16,20.48,1,4
3.079,35.81,22.93,1,4
2.686,16.77,26.59,1,5
2.952,33.49,19.53,1,5
2.993,10.21,45.01,0,2
3.077,28.61,22.49,1,4
2.931,20.77,26.63,1,5
3.023,30.46,41.93,0,3
2.749,32.19,20.07,1,6
2.748,38.15,42.02,0,5
2.701,26.41,41.08,0,2
3.534,24.06,20.05,1,4
3.659,11.13,22.49,1,5
2.985,29.14,24.53,1,4
2.699,14.69,26.49,1,6
3.022,28.76,24.00,1,5
2.864,18.85,27.60,1,5
2.665,24.40,44.07,0,2
3.491,12.57,24.96,1,4
2.904,35.55,22.09,1,5
2.685,21.01,47.02,0,3
2.633,49.23,16.05,1,6
3.269,10.35,28.52,1,5
2.555,22.97,25.09,1,5
3.280,16.39,22.98,1,4
3.064,33.85,18.98,1,5
2.839,34.27,19.96,1,4
3.158,17.32,28.97,1,5
3.106,17.65,23.49,1,6
3.051,19.01,25.52,1,5
3.737,13.46,22.96,1,4
3.223,13.78,28.48,1,5
2.951,24.77,40.02,0,3
2.801,28.36,22.48,1,4
3.250,12.71,36.99,0,4
2.911,16.49,42.95,0,2
2.483,18.85,31.43,1,5
2.850,18.28,25.53,1,5
2.845,21.33,25.95,1,5
2.559,31.63,41.97,0,2
2.721,23.84,25.93,1,4
2.811,26.98,18.93,1,4
2.722,16.89,44.93,0,5
3.152,18.34,25.50,1,4
3.147,47.49,12.48,1,5
2.429,49.23,16.10,1,6
2.847,15.20,26.97,1,5
3.112,26.18,23.46,1,5
2.830,24.53,45.89,0,2
2.904,19.53,42.06,0,2
3.077,19.40,39.92,0,5
2.565,45.72,17.49,1,6
2.905,16.59,27.53,1,5
2.856,40.94,17.99,1,4
3.055,15.74,23.46,1,4
2.755,16.17,45.98,0,1
2.646,45.35,18.11,1,4
2.587,22.59,42.00,0,2
3.125,17.66,38.95,0,3
3.211,28.23,20.95,1,4
2.521,36.01,21.54,1,5
3.202,16.42,28.00,1,4
3.326,23.55,41.08,0,3
2.952,16.33,42.08,0,5
3.071,39.04,16.00,1,6
3.166,17.27,26.46,1,4
3.075,33.91,20.47,1,4
2.799,22.38,28.07,1,5
3.088,24.77,24.99,1,4
3.107,19.36,40.05,0,3
2.983,15.77,24.55,1,5
2.842,19.80,42.05,0,2
2.968,12.20,44.99,0,3
3.202,23.48,38.99,0,3
3.041,23.47,43.03,0,5
2.557,37.67,21.50,1,4
2.942,14.30,29.05,1,4
2.887,35.17,21.45,1,5
3.092,12.84,42.00,0,2
2.936,17.12,28.63,1,4
3.274,19.09,36.02,0,3
2.987,23.56,23.54,1,4
2.928,32.65,23.07,1,5
3.208,18.53,37.06,0,2
2.837,14.12,45.03,0,2
2.597,25.36,44.10,0,4
2.916,26.61,39.93,0,3
2.787,18.84,43.98,0,2
2.882,16.19,41.99,0,3
2.771,40.29,20.51,1,5
3.729,12.09,23.56,1,4
2.888,16.72,28.55,1,5
2.585,25.04,44.96,0,2
2.856,19.36,25.55,1,4
3.672,14.03,22.63,1,5
3.276,28.93,37.95,0,3
2.462,26.85,45.91,0,5
3.170,18.28,24.93,1,4
2.935,21.89,23.45,1,5
2.827,31.61,25.06,1,4
3.226,18.35,24.52,1,5
3.111,28.86,24.52,1,4
3.078,25.92,38.95,0,3
2.963,19.34,26.46,1,5
2.868,43.84,24.05,1,5
3.073,24.26,23.03,1,5
2.914,35.73,42.96,0,3
2.919,39.80,18.99,1,5
2.749,22.82,42.98,0,2
3.162,11.49,28.49,1,5
2.972,22.18,23.49,1,5
3.005,38.78,35.90,0,4
2.693,15.48,42.98,0,4
3.056,19.52,41.96,0,3
3.177,15.37,24.51,1,4
2.795,19.11,27.03,1,6
2.990,25.11,39.02,0,5
2.757,18.57,31.52,1,5
2.897,40.87,19.02,1,4
3.009,24.87,22.97,1,6
2.952,19.36,42.06,0,2
2.862,23.47,23.04,1,4
2.650,14.05,46.09,0,2
3.202,26.17,40.00,0,3
3.014,27.88,22.97,1,5
2.994,32.47,20.00,1,5
2.826,18.91,43.96,0,3
2.755,16.03,42.01,0,2
2.816,25.44,39.03,0,5
3.222,17.53,40.05,0,3
2.642,20.42,45.01,0,2
2.910,20.86,42.01,0,5
2.865,36.34,19.60,1,4
2.780,37.30,18.57,1,4
3.167,12.83,27.02,1,5
2.925,21.65,27.96,1,5
2.568,13.54,46.94,0,2
3.247,28.19,20.55,1,5
2.839,22.64,22.98,1,6
2.985,15.33,26.48,1,5
2.615,21.91,45.93,0,3
3.154,40.64,40.00,0,3
2.678,29.00,45.01,0,3
2.815,25.35,25.53,1,5
2.890,36.63,19.48,1,5
2.992,15.81,41.97,0,2
3.284,20.58,23.48,1,5
2.866,12.88,41.97,0,5
3.108,27.00,22.42,1,4
2.759,31.73,42.08,0,5
2.876,23.29,41.05,0,2
2.671,10.16,45.01,0,2
2.677,27.92,23.00,1,5
2.765,21.42,24.01,1,4
2.557,12.72,46.98,0,2
2.611,31.43,20.91,1,5
2.139,38.41,46.11,0,5
2.570,47.05,16.01,1,6
2.844,24.67,40.03,0,2
2.895,31.46,44.93,0,3
3.374,21.39,20.99,1,5
2.857,10.26,45.05,0,2
2.771,48.35,15.54,1,5
2.803,29.47,26.04,1,5
3.054,32.69,19.86,1,5
2.793,15.95,44.94,0,2
2.891,21.64,44.99,0,2
2.835,17.06,28.99,1,6
2.963,30.79,22.01,1,5
2.717,20.23,42.08,0,3
2.838,34.94,44.06,0,2
2.699,17.65,45.11,0,2
3.387,19.21,21.50,1,5
2.980,28.07,24.47,1,5
2.551,15.51,47.04,0,5
2.409,48.04,18.52,1,4
2.772,31.23,45.01,0,2
2.927,22.13,26.10,1,5
2.687,17.23,27.02,1,4
2.618,26.75,45.01,0,2
2.766,26.72,43.97,0,2
2.965,19.35,40.03,0,1
2.699,34.67,44.03,0,3
3.190,17.63,25.52,1,4
2.972,49.44,14.53,1,5
2.726,25.91,23.96,1,5
2.830,24.08,42.94,0,2
2.903,29.72,21.58,1,5
2.711,19.92,26.43,1,4
3.035,26.63,22.57,1,4
2.866,26.56,24.97,1,5
2.853,21.31,43.99,0,2
2.703,16.85,46.00,0,2
3.152,24.18,22.04,1,4
3.040,30.98,20.13,1,6
3.063,21.13,23.98,1,5
2.885,21.26,22.94,1,5
2.958,16.18,40.05,0,4
2.620,37.87,43.97,0,4
2.938,28.33,21.45,1,5
2.757,13.59,43.98,0,2
2.869,38.01,44.95,0,3
3.042,24.44,23.54,1,5
2.970,48.14,15.45,1,5
2.926,28.83,41.05,0,3
3.205,16.02,26.95,1,4
2.691,21.78,45.02,0,2
3.195,20.26,25.46,1,5
2.868,31.08,42.01,0,3
2.926,28.11,22.93,1,4
2.795,25.39,40.98,0,2
3.302,28.11,20.57,1,4
4.044,22.00,16.99,1,4
2.823,14.63,45.02,0,2
2.915,29.44,39.04,0,3
2.909,39.04,20.49,1,4
3.295,31.12,36.99,0,3
2.819,25.21,24.00,1,4
2.832,18.04,26.00,1,4
3.087,34.95,17.99,1,5
2.994,21.99,43.08,0,2
2.868,25.01,42.00,0,2
2.785,15.66,28.00,1,5
3.066,19.75,21.97,1,5
2.850,29.29,42.04,0,4
3.143,27.83,21.06,1,4
2.855,13.12,37.07,0,2
2.850,20.31,29.54,1,5
2.856,37.95,19.00,1,4
2.879,36.38,41.05,0,3
2.776,17.01,44.98,0,2
3.329,17.07,24.06,1,5
3.143,17.40,27.56,1,4
2.602, 7.68,48.00,0,2
2.862,10.13,42.01,0,2
3.325,26.15,21.96,1,4
3.261,19.50,23.05,1,5
2.682,17.58,47.99,0,2
2.965,14.52,40.97,0,2
2.712,37.56,43.97,0,2
2.744,24.12,45.06,0,2
3.002,37.36,43.05,0,3
2.797,20.52,41.95,0,3
2.889,29.38,42.96,0,3
3.086,12.99,24.44,1,4
2.878,14.54,29.44,1,5
2.891,27.21,40.99,0,3
3.252,32.30,19.45,1,4
2.953,40.31,19.98,1,5
2.740,36.79,20.54,1,5
3.077,19.53,23.05,1,4
3.512,21.75,22.52,1,4
2.877,14.79,41.01,0,4
2.957,24.25,43.92,0,3
2.778,23.50,42.04,0,5
2.589,34.59,22.57,1,6
3.225,12.10,29.49,1,5
2.868,18.68,42.97,0,3
2.629,17.48,27.94,1,5
2.826,15.15,42.95,0,2
3.042,18.87,23.98,1,4
2.936,15.39,42.02,0,2
3.057,18.77,23.00,1,5
2.809,18.39,25.99,1,4
2.921,26.48,40.96,0,5
2.800,27.00,44.03,0,2
3.003,20.34,42.89,0,2
2.803,26.54,20.97,1,5
2.977,16.81,27.52,1,5
2.951,33.55,19.56,1,4
2.692,46.79,38.00,0,2
2.898,16.48,27.65,1,5
3.255,13.27,24.45,1,5
3.164,18.27,27.51,1,4
2.858,18.64,40.92,0,3
2.516,24.21,45.94,0,2
2.911,15.46,39.95,0,2
2.851,20.53,41.01,0,2
2.943,29.22,24.50,1,4
3.039,20.22,43.93,0,2
2.804,37.91,17.97,1,5
3.143,26.70,18.02,1,5
3.016,32.00,21.41,1,5
2.881,17.40,25.00,1,5
2.938,31.83,21.02,1,5
2.895,24.95,41.04,0,3
2.669,36.00,43.91,0,4
2.535, 5.78,51.07,0,2
3.301,10.01,40.08,0,4
3.134,13.25,26.96,1,5
2.502,37.26,43.00,0,4
2.626,26.87,22.49,1,5
2.669,14.74,31.44,1,4
3.008,12.93,26.44,1,5
2.642,22.93,43.95,0,5
2.910,26.13,20.97,1,5
3.193,19.72,23.50,1,4
3.160,40.80,18.44,1,4
2.704,11.87,49.09,0,2
2.882,18.28,41.93,0,3
3.134,23.39,23.98,1,4
3.035,18.00,24.54,1,6
2.740,20.63,44.00,0,3
2.875,25.94,41.98,0,3
3.140,28.36,16.96,1,4
3.283,14.96,23.00,1,4
2.864,27.29,20.95,1,5
2.992,24.74,23.04,1,5
2.857,40.46,17.46,1,4
2.889,20.55,41.09,0,3
3.046,34.79,18.54,1,4
