EFFICIENCY,IDLE,POWER,DAIMLER,YEARS
2.932,26.61,19.89,1,5
2.689,27.31,22.98,1,4
2.737,22.80,45.05,0,4
3.309,22.73,24.05,1,5
2.753, 9.48,45.02,0,2
2.983,13.03,42.00,0,2
2.781,23.11,43.95,0,3
2.690,14.83,45.03,0,2
3.035,18.79,26.95,1,5
2.762,17.13,26.99,1,4
2.968,12.77,28.58,1,4
3.233,36.39,14.94,1,5
3.008,19.55,24.49,1,5
2.891,15.90,29.48,1,4
3.000,44.56,41.06,0,3
2.887,11.29,41.99,0,3
2.969,24.84,19.58,1,4
2.766,18.03,30.06,1,5
2.876,23.67,38.04,0,2
2.638,14.89,44.95,0,2
3.298,31.57,19.00,1,4
2.990,11.35,36.96,0,2
3.265,17.10,21.53,1,5
2.786,35.86,20.06,1,4
3.121,29.29,27.49,1,6
2.688,13.76,31.98,1,4
2.673,22.70,27.48,1,4
2.918,23.22,28.48,1,5
2.820,33.19,20.94,1,5
3.024,23.21,24.03,1,4
3.092,17.76,38.02,0,2
3.105,14.18,26.50,1,5
3.033,17.39,24.40,1,6
2.957,15.80,43.95,0,2
2.931,31.93,40.88,0,3
3.103,24.60,22.42,1,4
2.809,18.80,23.42,1,6
2.848,27.54,22.04,1,4
2.903,23.69,41.05,0,3
2.832,15.28,43.00,0,2
2.931,18.79,27.98,1,4
2.678,31.82,22.48,1,5
3.070,28.77,21.52,1,4
3.075,39.04,19.11,1,5
3.139,16.54,25.03,1,5
2.363,12.76,48.95,0,2
3.333,24.79,18.44,1,5
3.118,16.74,28.52,1,5
2.771,29.18,22.55,1,4
2.651,21.75,28.05,1,5
2.894,14.61,24.01,1,6
2.750,22.75,44.02,0,2
2.849,20.29,40.13,0,2
2.995,32.17,20.94,1,4
2.885,21.49,39.93,0,2
3.008,31.95,22.53,1,5
3.559,15.01,24.52,1,5
2.832,20.50,44.00,0,3
2.925,26.79,21.52,1,6
3.045,29.58,17.01,1,5
3.894,15.09,20.98,1,4
2.690,12.86,46.07,0,2
3.205,34.22,16.07,1,5
2.746,20.97,44.10,0,2
3.164,20.40,43.01,0,3
2.719,12.37,46.92,0,2
3.724,14.25,19.99,1,6
2.809,40.54,17.42,1,4
3.009,27.82,22.57,1,5
2.664,16.86,47.01,0,2
2.577,25.21,26.94,1,6
2.999,23.82,24.54,1,4
2.799,58.33,10.46,1,4
2.697,48.93,17.00,1,4
3.065,32.20,18.06,1,6
2.903,25.04,21.45,1,4
3.152,30.09,23.00,1,5
2.802,16.89,43.99,0,5
2.976,45.81,18.09,1,5
3.247,36.77,19.53,1,5
2.932,24.38,44.03,0,4
2.780,32.87,20.46,1,5
3.239,33.58,19.49,1,5
2.665,16.05,43.93,0,4
3.134,11.49,36.98,0,4
3.068,24.84,23.50,1,4
3.116,15.89,40.07,0,2
2.980,34.16,18.52,1,5
3.174, 9.64,29.45,1,4
3.020,22.07,40.05,0,5
3.119,20.15,24.95,1,5
2.694,16.58,27.50,1,5
3.210,30.38,21.04,1,4
2.953,23.33,41.98,0,5
3.295,17.47,25.52,1,4
3.057,29.10,21.44,1,4
2.981,16.28,39.97,0,2
2.902,15.02,43.94,0,2
3.122,19.17,25.07,1,4
3.032,21.99,41.12,0,2
2.602,22.51,46.94,0,5
3.038,17.34,39.08,0,3
3.306,12.80,25.48,1,4
3.001,13.34,40.02,0,4
2.984,16.72,27.50,1,4
2.977,13.32,26.46,1,4
3.424,26.80,18.07,1,6
3.166,33.08,19.01,1,4
2.980,24.40,24.49,1,4
2.619,19.15,29.42,1,4
3.466,19.60,20.41,1,4
3.037,30.62,35.99,0,2
2.946,38.87,19.55,1,4
2.986,21.19,25.46,1,5
2.956,24.92,22.94,1,5
2.854,26.08,21.45,1,6
3.033,20.51,23.04,1,5
2.757,19.91,45.05,0,2
3.073,31.56,19.97,1,4
3.134,22.84,40.00,0,3
2.859,29.36,42.06,0,3
2.917,25.53,22.45,1,4
2.659,24.60,25.98,1,4
2.993,28.40,23.44,1,5
2.921,25.62,22.58,1,6
2.737,13.21,44.02,0,2
2.848,26.70,43.01,0,1
3.098,17.95,40.00,0,3
2.768,43.55,17.48,1,4
2.905,19.49,24.94,1,5
2.913,21.91,21.56,1,6
2.833,18.77,45.06,0,4
2.890,16.35,41.04,0,2
2.515,35.25,22.45,1,6
3.041,23.42,22.52,1,6
2.718,20.10,26.05,1,5
2.797,27.27,26.62,1,4
2.648,45.24,15.49,1,6
2.690,16.72,28.49,1,4
2.920,22.25,25.46,1,5
3.092,14.88,28.95,1,5
2.515,22.21,27.00,1,6
3.103,29.60,38.08,0,3
3.305,27.62,21.45,1,5
2.825,15.54,23.98,1,5
2.869,26.55,20.47,1,5
3.116,23.20,38.04,0,3
2.564,20.36,45.03,0,5
2.906,38.65,19.95,1,4
3.476,13.15,23.47,1,6
3.041,25.76,18.99,1,5
3.049,33.34,20.03,1,5
2.985,32.95,42.01,0,3
2.997,21.95,26.47,1,5
3.003,18.95,27.94,1,5
3.266, 9.32,30.45,1,4
2.816,17.96,43.02,0,2
3.069,20.24,24.50,1,5
3.071,21.79,22.98,1,5
3.191,26.76,20.54,1,4
2.944,23.94,23.48,1,4
2.759,30.21,41.98,0,2
3.251,23.02,21.50,1,4
2.338,20.60,44.88,0,2
2.941,33.94,32.98,0,1
2.910,26.25,24.05,1,4
2.931,40.97,18.44,1,4
3.190,26.21,37.94,0,3
2.826,22.80,25.04,1,4
2.910,34.95,19.45,1,4
3.123,19.74,27.02,1,4
3.679,15.58,22.49,1,5
3.027,24.93,21.52,1,5
2.661,22.71,23.98,1,6
3.278,13.67,40.00,0,2
2.921,29.63,21.98,1,5
2.988,17.18,28.46,1,5
2.617,31.32,47.01,0,4
3.195,25.65,38.05,0,2
2.961,15.49,25.44,1,6
3.239,17.77,24.98,1,4
3.020,22.70,22.01,1,4
3.405,12.02,25.52,1,5
3.452,13.23,25.51,1,5
3.280,16.62,23.50,1,4
2.740,28.55,21.92,1,4
3.049,13.61,25.98,1,4
2.678,33.05,18.94,1,5
2.635,23.49,43.92,0,2
3.375,25.18,23.46,1,4
3.434,31.53,17.90,1,5
2.905,17.20,41.99,0,2
2.796,23.07,41.97,0,3
2.753,36.97,42.06,0,4
2.726,10.09,45.12,0,2
2.662,28.04,43.98,0,4
2.698,29.05,26.96,1,5
3.136,33.50,16.89,1,4
2.873,23.24,24.99,1,5
2.707,35.38,44.99,0,2
3.218,23.68,25.47,1,5
2.688,30.58,43.97,0,3
3.258,15.93,25.98,1,4
2.956,13.51,42.09,0,1
3.216,21.02,19.48,1,6
2.644,23.50,26.03,1,4
2.858,15.37,40.06,0,3
3.231,17.78,25.54,1,4
2.559,35.04,24.10,1,5
2.965,22.73,23.95,1,5
2.539,24.60,47.00,0,5
2.876,33.57,22.49,1,4
2.882,35.82,19.05,1,4
2.674,36.49,44.01,0,2
2.982,26.76,21.49,1,4
2.873,14.31,44.12,0,2
3.192,18.82,41.00,0,3
3.074,21.94,25.02,1,5
2.792,32.16,18.94,1,6
2.616,20.88,28.03,1,5
2.739,25.60,41.06,0,3
3.772,14.01,22.99,1,4
3.250,26.90,21.94,1,4
2.744,29.43,24.90,1,4
2.866,24.76,24.08,1,5
3.553,17.54,24.02,1,4
2.806,14.74,41.92,0,2
2.798,16.80,25.48,1,4
2.948,17.48,41.98,0,5
2.792,19.34,41.95,0,4
3.237,14.13,26.06,1,5
2.815,37.69,41.98,0,3
2.753,35.00,41.89,0,2
2.886,29.47,22.00,1,5
2.752,23.84,29.00,1,4
3.349,13.43,24.43,1,5
3.440,14.16,36.95,0,2
2.865,22.07,24.51,1,5
3.274,26.01,19.50,1,4
3.093,32.62,24.02,1,4
3.038,19.69,25.05,1,4
3.043,13.63,41.02,0,2
2.851,33.44,43.07,0,3
2.810,16.63,31.96,1,5
3.010,36.24,19.48,1,4
2.791,36.87,19.55,1,6
3.203,31.14,19.01,1,5
3.456,14.88,21.43,1,5
2.945,16.28,43.12,0,2
3.323,12.31,25.45,1,5
2.555,27.24,41.98,0,3
2.636,23.34,45.01,0,2
3.005,18.82,26.91,1,4
3.358,13.43,26.02,1,4
3.176,29.01,20.43,1,5
2.838,16.54,26.01,1,5
3.102,18.65,25.55,1,5
2.892,35.55,21.55,1,4
3.414,15.94,23.48,1,5
2.921,36.68,20.09,1,5
3.047,23.02,23.55,1,5
3.016,27.08,42.01,0,3
3.024,16.21,27.40,1,5
2.751,24.52,42.96,0,5
3.045,20.66,40.01,0,2
2.682,42.19,18.50,1,5
3.225,17.76,24.02,1,5
3.372,19.68,37.97,0,2
2.905,39.16,18.99,1,4
2.880,19.38,44.03,0,2
3.006,20.97,24.93,1,5
2.666,32.34,24.98,1,4
3.051,36.09,18.99,1,4
2.909,12.08,29.01,1,4
3.074,33.12,21.01,1,4
2.648,37.86,17.47,1,5
3.087,21.76,24.49,1,4
3.237,21.83,24.47,1,4
2.946,23.40,21.93,1,6
2.856,23.19,39.92,0,3
3.058,21.66,40.96,0,2
2.967,35.85,18.01,1,4
2.969,28.37,16.50,1,5
2.779,17.28,39.01,0,3
2.905,26.72,41.02,0,2
3.693,11.33,35.01,0,4
2.853,32.58,22.00,1,5
3.592,10.68,24.42,1,4
2.991,15.19,27.94,1,5
2.994,30.61,22.51,1,5
3.181,16.42,25.49,1,5
3.088,15.24,29.47,1,5
3.183,13.77,24.04,1,6
2.978,22.76,41.97,0,3
3.127,20.20,24.42,1,5
3.155,26.50,22.52,1,4
3.010,18.19,24.64,1,4
3.323,13.39,26.93,1,4
2.555,21.77,44.95,0,2
2.931,20.98,22.00,1,5
3.500,20.46,22.00,1,5
2.967,22.08,24.50,1,5
2.650,31.95,23.99,1,4
2.861,31.06,17.47,1,5
2.908,19.31,24.95,1,5
3.080,29.98,20.10,1,6
2.960,18.84,25.91,1,4
2.836,34.32,43.91,0,3
3.044,18.38,26.51,1,4
2.719,14.58,25.07,1,4
3.212,21.00,23.00,1,4
2.542,45.28,18.42,1,5
3.013,25.15,22.96,1,5
2.704,27.42,22.95,1,4
2.755,21.56,23.99,1,6
3.017,12.74,30.61,1,4
2.438,31.21,22.45,1,6
2.947,27.61,21.97,1,5
3.039,29.37,21.52,1,5
2.738,22.66,44.01,0,3
2.858,30.11,40.00,0,5
2.746,22.75,42.04,0,4
2.561,18.97,44.92,0,4
3.014,19.15,23.97,1,4
2.597,41.05,18.41,1,6
3.352,13.79,26.96,1,5
3.391,38.29,16.52,1,4
2.851,17.43,27.46,1,5
2.917,23.42,21.94,1,5
3.123,19.75,38.97,0,3
3.860,14.13,23.02,1,4
2.895,28.33,23.08,1,5
2.727,22.55,27.48,1,5
3.085,29.27,21.43,1,4
2.794,21.56,43.02,0,3
3.413,15.94,25.37,1,4
3.836,24.27,18.06,1,4
3.437,24.87,21.53,1,5
2.612,39.71,19.06,1,5
2.908,23.80,39.98,0,3
2.683,34.65,42.94,0,2
2.928,18.29,26.96,1,5
3.118,20.28,26.04,1,5
2.604,23.07,45.02,0,3
2.982,12.91,29.92,1,5
3.392,20.11,24.02,1,4
2.747,19.40,25.97,1,4
2.840,14.49,44.04,0,2
2.978,27.14,41.99,0,3
3.130,20.88,22.55,1,4
3.174,23.86,21.05,1,5
3.059,14.35,30.49,1,5
2.895,23.22,24.05,1,5
2.910,27.20,24.05,1,4
3.244,19.86,23.03,1,5
3.229,26.24,23.07,1,5
3.133,33.28,41.97,0,3
2.693,16.86,44.04,0,3
2.807,29.50,21.09,1,6
2.981,16.57,43.07,0,4
3.037,20.49,43.04,0,3
2.495,19.97,27.52,1,5
2.680,26.30,26.06,1,5
3.392,30.39,18.39,1,5
2.603,22.56,24.96,1,5
2.891,17.40,43.96,0,2
2.802,17.96,27.50,1,5
2.959,13.20,41.01,0,4
2.746,17.11,45.01,0,5
2.628,17.11,25.01,1,6
3.183,17.74,24.02,1,4
3.156,16.29,27.49,1,4
2.594,26.42,44.99,0,3
3.243,22.77,24.09,1,4
3.007,24.72,23.99,1,5
3.170,27.12,19.47,1,5
2.704,34.50,22.98,1,5
2.792,14.72,33.47,1,5
3.089,15.45,42.97,0,2
3.120,30.24,20.54,1,4
3.378,14.64,27.60,1,4
2.899,16.94,42.96,0,2
3.029,20.19,25.95,1,5
3.546,23.80,19.65,1,4
2.893,21.73,23.97,1,6
3.075,14.06,27.43,1,5
2.747,18.61,45.05,0,4
3.005,14.25,27.51,1,5
2.914,28.60,22.46,1,4
2.841,28.04,21.51,1,5
3.080,28.41,20.50,1,4
3.339,19.07,21.96,1,4
3.255,20.06,21.47,1,4
2.845,41.33,18.01,1,6
2.924,26.11,22.09,1,6
3.077,17.83,37.99,0,3
2.584,27.90,25.09,1,5
2.736,25.70,21.52,1,4
2.853,20.58,28.49,1,4
2.923,21.23,23.50,1,5
2.785,24.51,26.01,1,5
2.915,14.41,24.95,1,6
2.806,20.44,26.91,1,5
3.242,13.21,23.02,1,5
3.037,25.56,24.91,1,5
2.941,42.89,17.44,1,5
3.037,32.78,20.46,1,4
3.258,23.86,22.99,1,4
3.185,12.98,26.54,1,5
2.910,19.49,27.97,1,5
2.971,38.24,19.47,1,4
2.868,36.70,18.99,1,5
3.474,16.57,21.45,1,4
3.056,27.06,22.53,1,4
2.806,39.45,42.06,0,3
2.957,15.21,27.44,1,4
3.083,26.32,21.95,1,5
2.750,14.77,28.48,1,4
3.043,24.90,19.99,1,6
3.037,21.09,27.56,1,5
3.048,14.27,40.02,0,4
2.776,18.13,26.02,1,4
2.591,22.90,28.54,1,4
2.886,15.07,28.94,1,5
2.907,14.77,35.97,0,2
2.441,29.69,44.94,0,2
3.125,18.99,25.53,1,4
3.419,15.37,23.91,1,4
2.801,35.00,42.02,0,3
3.285,19.16,23.09,1,4
3.305,14.46,25.51,1,5
2.630,20.33,45.13,0,3
3.108,20.69,26.51,1,5
2.816,19.52,24.45,1,5
3.486,11.19,26.41,1,5
3.107,22.43,24.04,1,4
2.853,31.38,20.95,1,4
3.092,28.30,23.02,1,4
2.326,23.99,30.98,1,6
2.883,17.49,26.52,1,5
2.838,22.79,42.96,0,3
3.000,11.54,44.01,0,2
2.692,22.32,25.03,1,6
3.315,17.82,24.03,1,4
2.854,21.33,42.99,0,3
