Observation,Resistance,Cement,Gravel,Additives,Water,Sand
118,230.6,184.00,905.00,1833.00,225.71,922.50
119,257.5,313.33,572.00,1441.33,134.00,1139.33
120,230.6,182.50,891.25,1809.50,220.87,903.88
121,313.4,251.00,826.50,1269.00,114.50,924.00
122,228.5,222.40,757.07,2230.93,230.34,971.33
123,263.8,253.29,778.86,2524.57,237.03,1004.86
124,278.7,252.14,779.57,2538.00,230.87,962.57
125,206.5,213.73,889.47,2130.67,217.39,930.93
126,285.8,243.60,770.80,1730.80,120.80,1013.60
127,203,214.27,892.00,2130.67,220.82,895.33
128,264.6,212.20,893.80,2124.40,218.81,901.80
129,211.5,231.88,856.00,1868.25,140.00,1069.50
130,255.4,207.00,892.20,2086.80,213.81,913.40
131,111.8,190.00,887.00,1927.00,225.87,918.50
132,147.8,182.75,886.25,1809.50,216.02,934.50
133,111.1,154.80,890.80,1579.20,221.58,946.00
134,176.1,178.00,891.33,1786.00,218.75,948.33
135,250.4,211.00,889.00,2115.00,221.01,905.50
136,255.4,280.25,749.75,1386.50,106.38,991.00
137,217.2,234.00,862.38,1868.25,165.75,1031.88
138,181.8,267.33,571.67,1347.33,137.33,1130.67
139,211.5,288.00,528.67,1441.33,134.00,1145.33
140,170.5,195.25,742.50,1950.50,237.89,998.75
141,249.7,249.82,830.36,1247.64,102.55,949.64
142,108.2,177.88,891.63,1786.00,220.39,924.38
143,216.5,193.67,746.00,1974.00,242.48,1003.00
144,170.5,195.83,745.17,1958.33,236.01,1008.50
145,244,233.07,859.07,1867.47,160.27,1042.53
146,147.8,178.80,889.80,1786.00,218.22,928.40
147,289.3,252.17,831.67,1237.67,110.50,929.00
148,198.8,209.25,901.50,2091.50,220.31,894.50
149,312.7,308.86,802.29,3102.00,231.33,872.57
150,237,232.80,857.60,1867.47,165.60,1040.67
151,299.9,243.14,896.71,2430.57,225.88,858.14
152,234.1,209.85,893.23,2096.92,221.27,901.54
153,233.4,200.80,892.80,1880.00,233.53,927.60
154,278,210.86,899.14,2094.86,224.85,900.29
155,246.9,220.00,736.57,2202.29,227.16,1015.57
156,265.3,211.43,876.86,2094.86,223.82,929.71
157,180.4,178.50,876.50,1786.00,217.42,954.33
158,268.1,242.00,753.71,1712.00,123.14,1019.71
159,210.8,177.67,869.67,1786.00,219.94,937.50
160,233.4,211.17,885.00,2099.33,220.68,890.67
161,227.8,178.67,888.44,1775.56,219.81,933.33
162,264.6,211.11,875.78,2109.78,220.66,913.56
163,221.4,226.50,859.00,1864.33,167.17,1034.83
164,273.7,245.47,823.33,1240.80,96.93,957.07
165,303.5,245.60,826.13,1240.80,115.60,931.60
166,200.2,179.00,882.33,1786.00,226.54,924.67
167,273.7,219.40,741.20,2199.60,227.27,997.20
168,193.8,179.13,875.75,1786.00,224.37,913.75
169,192.4,226.33,859.50,1864.33,161.17,1053.83
170,254.6,211.17,883.17,2099.33,222.47,908.50
171,292.1,266.63,767.88,2667.25,241.16,905.63
172,165.5,198.86,889.14,2009.29,221.18,892.57
173,298.5,275.88,889.13,2752.38,233.21,806.75
174,292.1,281.43,780.57,2771.43,232.13,898.57
175,152.1,207.00,754.14,2064.71,223.79,995.71
176,246.9,263.08,790.77,2014.62,146.46,1001.69
177,227.1,233.71,896.57,2383.43,221.66,862.00
178,186.7,238.60,889.40,2405.60,228.15,848.40
179,291.4,266.67,890.00,2651.33,220.96,836.00
180,249.7,263.13,786.50,2000.63,131.00,1006.50
181,255.4,234.17,895.17,2344.17,224.95,871.50
182,324.7,329.86,811.29,3298.00,232.69,853.71
183,198.8,203.57,757.71,2037.00,223.52,1007.14
184,245.5,274.57,787.57,2743.71,241.59,900.71
185,227.8,226.14,891.00,2300.29,222.70,878.86
186,313.4,331.43,811.00,3298.00,230.33,844.43
187,315.5,328.43,813.00,3298.00,234.61,851.57
188,225.6,276.00,896.57,2729.86,233.40,814.29
189,157,206.00,900.89,2069.33,229.63,894.44
190,378.4,259.00,891.57,2632.86,221.63,863.71
191,321.1,267.71,793.00,2702.14,226.73,938.43
192,291.4,233.83,812.00,2344.17,225.26,938.83
193,228.5,231.13,890.63,2291.63,222.42,878.13
194,324,274.29,782.14,2743.71,228.90,926.57
195,279.4,272.57,780.29,2729.86,230.53,910.14
196,294.3,268.38,706.25,2679.63,221.96,1024.50
197,302,274.71,898.43,2757.57,225.06,717.57
198,247.6,237.43,767.86,2383.43,228.35,969.43
199,279.4,258.80,889.20,2619.00,222.64,851.20
200,261,237.00,767.14,2383.43,229.28,962.43
201,336.7,268.55,898.91,2716.00,232.19,815.09
202,295,267.14,789.57,2674.43,227.12,932.57
203,225.6,225.83,895.83,2279.50,222.04,879.50
204,194.5,233.86,897.00,2355.71,231.34,843.43
205,241.9,240.43,766.86,2383.43,231.02,967.43
206,252.5,238.18,766.00,2380.91,228.32,966.73
207,289.3,271.71,783.57,2729.86,230.22,911.43
208,224.2,224.50,897.33,2279.50,222.23,870.50
209,374.9,326.71,812.29,3270.29,232.60,852.71
210,386.9,323.57,814.86,3214.86,228.01,865.00
211,364.3,326.57,812.43,3270.29,227.76,852.86
212,171.2,194.00,894.40,1940.00,223.93,909.00
213,211.5,229.50,888.88,2291.63,227.90,851.75
214,215.7,231.00,762.57,2314.14,229.80,968.29
215,201.6,232.31,763.69,2313.08,236.17,966.31
216,280.8,266.93,778.00,2664.27,224.08,834.53
217,294.3,260.14,707.86,2619.00,227.16,1005.14
218,150.7,191.57,893.71,1898.43,218.84,896.71
219,287.2,264.86,779.43,2660.57,228.52,892.71
220,396.8,316.14,815.71,3159.43,225.84,840.86
221,291.4,297.43,648.29,1472.71,128.57,957.86
222,247.6,252.57,826.57,1246.14,149.00,882.57
223,122.4,168.22,889.78,1674.11,224.17,857.11
224,291.4,254.00,890.14,2548.93,222.56,858.57
225,277.3,256.14,891.86,2548.93,221.91,870.86
226,147.8,200.00,745.20,1995.72,225.26,1017.87
227,159.9,198.50,747.63,1957.72,223.14,1021.88
228,364.3,315.33,813.20,3158.78,246.34,875.60
229,273.7,298.29,639.29,1472.71,146.57,964.14
230,273.7,261.86,892.57,2619.73,210.35,992.29
231,313.4,230.14,758.43,2308.20,221.63,997.14
232,135.1,163.43,735.57,1628.48,217.46,1061.57
233,257.5,251.71,894.00,2506.45,222.58,856.14
234,261.7,228.43,680.00,2279.88,228.78,1044.86
235,347.3,251.71,887.57,2506.45,219.90,864.14
236,230.6,249.43,753.43,1707.82,152.00,978.14
237,292.8,252.71,883.43,2506.45,221.51,863.57
238,97.6,184.83,887.17,1850.33,220.13,906.33
239,201.6,227.50,887.75,2255.09,234.23,835.38
240,268.1,255.00,894.00,2506.45,233.92,858.43
241,148.5,164.50,736.75,1610.78,221.22,1067.00
242,186,187.17,889.83,1850.33,223.76,904.00
243,375.6,310.18,807.45,3117.93,223.84,879.64
244,223.5,231.17,893.83,2246.83,232.88,849.17
245,225.6,226.14,759.43,2279.88,230.01,971.00
246,222.1,226.43,759.29,2279.88,228.47,968.71
247,236.3,226.71,758.71,2279.88,230.33,968.71
248,220,227.86,756.57,2279.88,233.31,970.14
249,306.3,250.57,893.00,2506.45,228.60,851.71
250,290,251.14,882.86,2506.45,224.56,855.43
251,297.1,252.18,889.82,2505.16,218.13,860.18
252,220.7,232.14,679.14,2279.88,225.69,1051.71
253,238.4,217.71,887.57,2166.59,221.84,883.86
254,229.2,228.14,679.29,2279.88,228.07,1055.86
255,205.1,225.86,891.57,2251.55,230.14,849.71
256,307.7,252.57,890.57,2506.45,219.29,866.00
257,209.4,218.91,890.55,2162.73,229.27,870.00
258,259.6,231.14,678.43,2279.88,228.53,1056.14
259,210.8,226.91,755.64,2270.86,230.91,980.91
260,345.2,294.00,894.00,2909.23,219.40,819.20
261,241.9,295.71,857.86,2942.70,225.15,826.57
262,240.5,295.75,798.25,2511.16,128.50,926.00
263,383.4,427.57,927.71,4253.66,235.15,650.86
264,369.9,413.43,888.57,4142.09,225.87,714.00
265,280.8,290.29,842.29,2900.86,219.89,856.71
266,374.9,336.86,882.29,3375.04,219.31,783.71
267,271.6,295.09,858.73,2946.50,225.58,829.27
268,346.6,337.86,889.14,3375.04,218.68,782.14
269,335.3,259.57,843.71,2607.98,221.63,872.43
270,256.8,286.86,843.00,2872.96,217.83,866.00
271,263.8,306.14,849.00,3082.16,221.30,836.86
272,320.4,334.13,898.50,3331.45,216.10,802.38
273,331.7,275.57,889.29,2733.50,210.46,860.57
274,392.6,409.80,896.00,4100.25,225.39,715.60
275,217.2,251.43,823.71,2524.30,215.77,915.14
276,258.2,287.29,844.43,2872.96,220.26,855.86
277,181.8,257.29,788.14,1703.34,127.57,1037.57
278,258.9,287.43,838.14,2872.96,219.73,853.57
279,227.8,256.43,826.86,2580.09,222.95,880.43
280,357.2,410.80,893.60,4100.25,227.30,711.40
281,208,258.43,797.71,1703.34,145.57,1023.43
282,283.6,284.33,896.00,2863.67,220.42,820.33
283,272.3,286.57,851.43,2872.96,223.13,846.43
284,221.4,263.50,823.67,1985.04,141.33,1007.67
285,256.1,252.33,744.83,2521.98,217.33,979.33
286,319,284.43,892.00,2859.02,220.85,830.86
287,203.7,257.00,748.57,2580.09,221.30,943.86
288,274.5,255.86,834.00,2580.09,221.48,884.00
289,300.6,287.14,846.14,2872.96,220.45,863.43
290,439.3,410.14,884.43,4100.25,221.48,737.29
291,210.8,257.43,832.86,2580.09,220.03,894.00
292,335.3,339.29,875.71,3402.93,221.62,796.14
293,290,283.33,906.00,2798.58,216.17,820.67
294,324,331.43,894.57,3319.25,214.46,807.57
295,261,304.00,848.14,3040.32,226.39,828.14
296,195.9,206.83,883.33,2082.67,209.08,908.83
297,214.3,249.33,782.67,2486.18,217.75,941.20
298,165.5,207.67,855.00,2082.67,206.65,940.50
299,285.1,284.14,800.29,2845.07,219.35,897.00
300,279.4,316.29,815.43,3165.84,227.03,842.29
301,309.8,264.71,915.86,2663.77,207.33,840.00
302,215,248.67,780.33,2505.71,217.18,941.00
303,166.9,248.33,804.00,1710.31,111.67,1048.33
304,220.7,211.14,895.71,2119.86,212.40,898.29
305,277.3,295.71,852.00,2970.59,226.95,828.00
306,203,248.71,825.86,2496.41,216.04,910.71
307,307.7,343.86,879.86,3444.77,225.08,767.71
308,257.5,265.00,943.57,2663.77,206.40,828.57
309,205.8,248.86,824.57,2496.41,216.60,906.57
310,236.3,283.57,836.00,2845.07,220.86,858.71
311,396.3,408.18,904.73,4100.25,227.82,710.91
312,98.3,205.43,900.57,2078.02,209.44,902.14
313,169.1,237.14,819.29,2370.89,214.45,920.43
314,256.1,283.71,856.71,2845.07,221.33,858.14
315,257.5,272.40,891.60,2707.47,211.98,848.93
316,198.8,253.27,832.55,2556.00,220.46,881.82
317,307.7,334.57,865.43,3361.09,221.25,810.14
318,261.7,279.14,836.00,2803.23,219.70,863.43
319,224.9,250.43,835.14,2496.41,220.80,896.00
320,255.4,284.71,855.29,2514.64,116.29,940.29
321,261,288.00,884.86,2886.91,211.81,844.29
322,210.1,249.43,834.43,2510.36,220.45,906.29
323,164.8,356.86,807.57,3333.20,237.98,826.14
324,204.4,248.14,747.29,1703.34,120.86,1009.71
325,373.5,336.00,781.29,3375.04,226.14,853.14
326,261,276.86,747.86,2775.34,222.92,950.57
327,263.1,257.00,908.20,2593.50,213.69,857.40
328,351.6,332.57,780.14,3328.93,225.40,864.43
329,284.4,332.29,771.57,3328.93,227.66,849.29
330,293.6,332.00,774.00,3328.93,232.85,828.00
331,193.1,250.29,793.43,2507.14,226.30,911.14
332,306.3,335.67,869.50,3363.75,225.71,766.67
333,193.1,249.71,837.00,2493.21,223.54,879.71
334,307.7,348.67,889.67,3477.50,235.81,756.33
335,253.9,279.67,848.50,2811.25,223.52,863.00
336,302,277.00,882.29,2785.71,221.54,815.86
337,187.4,206.40,899.20,2067.00,214.44,898.80
338,273,277.20,914.00,2788.50,221.64,806.20
339,326.1,280.14,842.43,2813.57,221.59,843.86
340,328.2,277.50,891.67,2795.00,220.27,815.50
341,330.3,349.43,879.00,3482.14,231.12,740.29
342,242.6,250.00,834.29,2493.21,225.34,875.57
343,252.5,235.14,896.29,2340.00,213.69,870.71
344,229.9,242.29,890.43,2409.64,222.05,845.71
345,214.3,206.80,888.80,2067.00,213.69,890.80
346,320.4,278.29,884.86,2771.79,222.52,810.43
347,331,340.13,886.40,3393.00,230.16,760.67
348,258.2,249.43,828.14,2479.29,224.84,879.43
349,215,244.31,820.46,2430.00,218.68,898.92
350,282.2,268.14,888.86,2674.29,210.68,853.29
351,313.4,279.43,838.00,2785.71,219.77,871.71
352,201.6,248.00,831.17,1982.50,157.50,980.00
353,321.1,332.57,900.14,3315.00,221.61,780.43
354,232,234.89,896.67,2340.00,208.46,879.11
355,292.1,279.43,846.43,2785.71,219.36,864.71
356,239.8,239.08,892.00,2385.00,212.99,868.00
357,358.6,327.09,887.09,3279.55,220.44,790.00
358,350.8,278.29,898.29,2757.86,219.54,830.43
359,289.3,282.00,886.00,2832.14,226.42,827.00
360,224.2,257.85,742.46,1711.49,150.92,1001.23
361,186.7,237.33,701.78,1161.90,168.22,1015.11
362,241.9,246.00,884.43,2503.63,221.56,859.57
363,248.3,259.29,693.57,2641.95,232.30,1050.86
364,188.9,238.00,705.63,1161.90,155.38,1007.00
365,297.8,282.15,807.38,2830.28,223.92,909.85
366,304.9,305.86,781.57,3070.75,235.50,892.57
367,221.4,277.50,568.50,1355.56,136.00,1103.50
368,209.4,218.25,882.75,2154.36,217.32,925.00
369,187.4,216.80,885.40,2188.25,217.72,931.60
370,256.8,276.63,884.50,2832.14,222.45,864.63
371,345.9,347.57,791.86,3499.55,234.77,817.86
372,244.7,256.00,743.71,1707.23,144.14,996.14
373,236.3,258.71,767.86,2600.45,230.21,961.57
374,232.7,255.43,742.57,1707.23,150.71,989.14
375,236.3,254.33,882.33,2533.60,225.84,853.17
376,202.3,215.60,887.40,2188.25,220.19,914.80
377,240.5,257.71,762.86,2600.45,229.49,966.00
378,245.5,259.60,769.60,2594.92,230.14,969.40
379,212.9,259.08,775.38,2591.94,234.70,941.38
380,328.9,349.71,820.00,3499.55,234.72,818.86
381,185.3,238.17,708.83,1161.90,154.83,1009.83
382,176.1,238.50,706.63,1161.90,160.88,1003.00
383,309.1,288.00,884.00,2807.94,226.27,846.33
384,223.5,249.60,711.40,3254.29,147.00,1028.80
385,250.4,252.92,769.85,2562.15,226.39,976.77
386,246.2,246.50,882.83,2469.05,218.91,904.17
387,261.7,247.11,887.33,2474.43,221.27,903.56
388,302,290.43,783.43,2918.59,231.75,913.43
389,307.7,283.00,890.25,2856.35,225.90,846.25
390,275.2,248.00,884.00,2478.73,220.90,892.60
391,322.6,305.71,788.86,3043.08,238.24,889.29
392,231.3,257.29,772.57,2572.79,226.72,976.86
393,309.8,287.85,783.54,2919.66,229.48,921.69
394,128.7,195.63,741.75,1936.51,226.32,1039.75
395,188.2,214.86,895.71,2143.99,217.58,912.43
396,189.6,219.00,898.00,2130.16,217.67,895.50
397,193.8,215.40,888.00,2149.52,225.85,924.60
398,205.1,242.50,888.50,2444.84,221.60,878.50
399,169.8,226.50,710.25,1161.90,140.00,1027.63
400,403.9,347.25,813.25,3461.51,231.64,836.50
401,147.8,291.43,882.29,2890.93,228.75,836.86
402,239.8,289.86,789.57,2918.59,228.26,956.29
403,311.2,278.33,888.00,2824.07,228.88,842.33
404,291.4,206.50,886.67,2065.61,216.11,932.17
405,292.1,189.50,737.75,1839.68,237.87,1069.75
406,300.6,211.50,900.00,2033.33,204.51,940.00
407,302.7,247.56,765.78,2495.94,227.44,996.67
408,384.8,343.29,819.86,3430.39,232.70,841.00
409,187.4,190.25,740.50,1839.68,233.92,1060.50
410,183.2,212.17,890.83,2114.02,231.27,935.00
411,374.2,344.86,814.71,3430.39,234.77,842.00
412,229.2,237.86,883.71,2392.97,220.08,903.86
413,259.6,284.22,779.11,2844.44,228.10,936.67
414,261,249.71,751.43,1718.57,135.71,1000.57
415,255.4,288.43,787.86,2885.71,235.68,912.43
416,330.3,336.00,807.38,3369.23,242.71,847.54
417,306.3,343.00,819.00,3428.57,232.59,842.57
418,218.6,239.25,883.00,2375.00,219.28,907.75
419,240.5,208.00,885.71,2057.14,218.12,937.57
420,447.2,407.67,842.17,4066.67,233.16,769.00
421,218.6,248.43,762.14,2471.43,235.18,989.71
422,176.1,214.00,904.00,2050.00,219.58,948.00
423,174,212.00,885.25,2050.00,218.73,925.50
424,258.9,248.86,749.71,1704.29,133.86,994.00
425,163.4,205.86,887.00,2057.14,218.32,928.86
426,246.9,240.00,891.07,2373.33,221.88,898.80
427,173.3,210.40,886.27,2053.33,221.70,903.47
428,366.4,249.00,765.00,2475.00,230.58,978.00
429,370.7,243.83,883.67,2366.67,217.31,894.67
430,307,272.67,894.00,2700.00,222.89,860.67
431,258.2,274.17,888.50,2700.00,223.44,869.17
432,304.2,275.75,883.75,2700.00,221.77,861.50
433,280.8,300.27,796.13,3013.33,228.96,916.00
434,234.1,205.33,894.67,2053.33,220.10,930.80
435,229.9,245.33,764.67,2466.67,225.36,995.78
436,229.2,247.00,763.14,2471.43,227.53,981.71
437,229.9,250.22,885.56,2444.44,226.36,875.78
438,333.2,277.00,884.83,2750.00,225.63,854.67
439,329.6,273.86,893.14,2700.00,224.01,874.86
440,269.5,248.25,761.25,2475.00,238.71,970.25
441,212.9,217.50,883.00,2125.00,227.70,913.75
442,297.8,267.25,892.50,2700.00,221.55,862.25
443,157.7,199.56,704.89,1982.49,224.11,1052.67
444,319,283.17,856.50,2828.28,225.09,848.50
445,195.2,237.00,755.60,1163.64,160.40,1000.20
446,338.8,350.00,783.86,3504.76,229.63,843.00
447,286.5,262.46,765.69,2610.72,219.08,984.31
448,249.7,261.57,741.57,2604.33,219.94,979.00
449,227.8,254.67,751.83,1718.28,148.33,992.50
450,212.2,211.75,929.25,2109.09,215.42,869.00
451,188.2,211.75,892.00,2157.58,218.59,875.75
452,304.2,275.33,893.00,2747.47,218.74,818.67
453,356.5,326.86,934.29,3269.26,221.72,757.86
454,336,326.71,963.71,3269.26,219.25,754.14
455,283.6,242.29,934.14,2410.39,211.32,831.29
456,241.9,242.50,928.38,2412.12,210.37,858.13
457,313.4,282.17,922.67,2795.96,215.31,853.83
458,301.3,244.14,932.14,2410.39,208.16,878.57
459,308.4,293.71,897.29,2701.30,220.11,922.14
460,195.9,212.86,895.43,2147.19,217.28,898.43
461,225.6,213.00,952.00,2133.33,201.84,1013.50
462,227.8,247.13,758.38,1703.31,127.63,1005.38
463,236.3,212.00,892.50,2105.44,217.14,899.75
464,219.3,233.87,928.40,2360.00,217.18,865.33
465,264.6,230.43,965.71,2311.06,213.32,856.71
466,210.1,314.57,928.57,1562.85,193.14,939.43
467,282.2,232.38,929.63,2307.66,214.11,859.88
468,205.1,240.00,929.38,2390.93,200.53,1010.00
469,256.8,231.63,921.63,2307.66,213.61,857.13
470,242.6,232.00,926.63,2307.66,215.32,847.25
471,193.1,212.33,909.33,2156.99,224.83,876.67
472,275.9,195.43,926.57,1984.79,217.93,846.00
473,280.8,231.71,954.14,2311.06,216.86,858.29
474,323.3,258.40,842.80,2609.65,225.59,861.60
475,194.5,210.00,837.43,1043.30,157.29,924.57
476,205.8,198.00,838.50,1971.84,229.58,951.13
477,317.6,237.67,839.67,2337.00,204.01,1073.00
478,232,198.38,840.25,1971.84,224.10,922.75
