Observation,Resistance,Cement,Gravel,Additives,Water,Sand
516,307,294.92,838.46,2515.10,146.77,937.08
517,385.5,422.57,891.00,4240.91,247.70,688.86
518,168.4,215.67,874.67,2163.64,227.86,928.00
519,349.4,337.11,872.89,3393.94,233.61,809.33
520,313.4,296.57,823.57,2986.36,237.45,866.00
521,250.4,261.83,800.50,1988.64,137.67,1026.17
522,239.8,239.69,869.23,2423.08,221.94,899.54
523,280.8,275.00,873.17,2768.18,229.13,870.33
524,274.5,281.29,816.57,2836.36,235.05,896.71
525,204.4,214.50,875.00,2123.86,226.88,931.50
526,476.8,405.57,872.57,4063.64,233.13,767.29
527,239.8,237.87,870.93,2367.27,220.70,923.87
528,232.7,237.33,872.44,2375.76,220.55,919.56
529,272.3,281.45,816.18,2846.28,231.34,916.91
530,297.1,294.67,826.67,2927.27,230.50,906.22
531,208,214.29,869.14,2127.27,219.04,966.57
532,248.3,238.38,893.25,2374.43,210.26,971.13
533,297.1,277.00,821.29,2781.82,220.72,968.00
534,433.6,414.29,896.00,4172.73,237.50,752.14
535,210.8,208.86,876.14,2100.00,220.62,952.71
536,237.7,238.71,806.14,2400.00,217.92,996.71
537,272.3,276.86,820.14,2781.82,227.15,916.00
538,290,277.71,814.43,2781.82,229.38,925.00
539,186.7,246.29,806.43,2481.82,236.77,923.00
540,381.3,416.29,892.29,4172.73,246.62,694.71
541,188.2,253.00,801.50,1992.61,107.25,1053.25
542,256.8,278.43,821.29,2781.82,229.86,918.00
543,402.5,415.86,888.71,4172.73,243.41,711.00
544,256.8,278.43,826.43,2781.82,221.21,959.29
545,231.3,231.80,875.40,2310.00,214.17,957.60
546,220,243.43,823.43,2440.91,221.76,987.29
547,205.1,204.80,868.20,2042.73,217.19,974.60
548,162.7,197.80,868.40,2004.55,219.17,965.80
549,211.5,243.43,798.43,2440.91,228.87,968.14
550,202.3,247.14,840.14,2481.82,216.67,1046.00
551,413.1,397.14,900.43,3981.82,230.07,768.43
552,255.4,293.50,831.38,2935.23,234.56,885.88
553,254.6,274.20,812.40,2730.00,232.63,916.60
554,250.4,228.00,879.80,2271.82,220.88,925.60
555,283.6,274.00,820.71,2740.91,231.93,918.14
556,261,231.71,867.86,2290.91,221.71,918.57
557,280.8,273.33,815.20,2736.36,231.76,921.07
558,240.5,251.25,808.13,1992.61,109.88,1046.50
559,261,295.00,811.71,2740.91,231.15,920.00
560,227.8,243.50,798.50,2434.09,229.12,955.75
561,224.2,228.29,876.71,2290.91,218.22,926.57
562,267.4,274.14,811.14,2740.91,227.94,925.86
563,278,260.83,886.33,2625.00,219.15,916.50
564,244,272.83,819.33,2752.27,229.96,932.33
565,244,273.29,807.00,2740.91,231.53,915.00
566,306.3,327.29,843.43,3300.00,233.39,841.14
567,302.7,328.29,841.71,3300.00,234.97,841.14
568,197.4,229.00,872.00,2271.82,222.46,916.60
569,204.4,242.86,804.43,2440.91,236.78,931.86
570,255.4,273.00,818.71,2740.91,233.20,912.00
571,150,204.29,875.71,2045.45,227.54,929.43
572,272.3,273.14,811.29,2740.91,233.86,912.57
573,222.1,226.89,879.78,2269.70,222.90,914.89
574,226.4,242.43,804.29,2440.91,235.87,936.43
575,281.5,273.57,814.71,2740.91,231.22,908.43
576,391.9,397.00,868.00,3981.82,239.58,743.43
577,225.6,266.50,878.00,2648.86,228.16,886.75
578,403.9,238.71,796.00,2400.00,230.21,968.43
579,263.9,396.25,881.75,3985.23,234.24,753.25
580,198.8,269.50,879.25,2696.59,232.98,856.25
581,120.3,202.75,878.75,2004.55,224.16,948.25
582,261.7,273.71,815.14,2740.91,234.45,911.29
583,261,279.20,826.20,2768.18,235.67,892.60
584,360.8,396.29,867.14,3981.82,236.84,750.29
585,162,197.14,878.14,1963.64,219.29,950.71
586,211.5,262.00,815.43,2645.45,233.05,925.43
587,297.1,274.71,814.29,2740.91,230.22,919.43
588,210.1,238.15,796.00,2393.71,228.21,971.38
589,290.7,274.00,814.29,2740.91,230.61,920.57
590,143.6,198.00,889.75,1956.82,222.50,951.00
591,268.8,273.43,808.86,2740.91,229.67,918.57
592,215,244.71,802.14,2440.91,233.67,941.43
593,382.7,396.71,878.14,3981.82,236.86,754.71
594,317.6,260.71,875.14,2631.82,217.85,926.14
595,258.2,274.29,819.86,2740.91,224.81,946.71
596,208,228.50,875.50,2290.91,219.74,936.75
597,192.4,237.57,871.86,2372.73,226.13,909.14
598,229.2,237.71,793.29,2400.00,227.13,984.00
599,408.9,396.29,874.29,3981.82,232.72,769.43
600,294.3,273.71,812.14,2740.91,231.09,910.14
601,229.9,236.14,875.57,2372.73,228.26,900.71
602,273.7,272.71,810.29,2740.91,228.42,933.14
603,396.8,410.00,887.88,4128.41,244.20,713.75
604,172.6,203.82,897.45,2024.73,221.02,890.55
605,219.3,235.71,897.00,2358.86,221.27,862.43
606,267.4,279.60,782.93,2803.20,231.65,902.40
607,292.1,288.00,743.69,1388.31,156.15,940.77
608,214.3,242.25,772.50,2412.00,226.03,960.50
609,244,243.33,896.67,2453.33,222.13,859.33
610,289.3,300.14,791.29,3003.43,232.04,879.29
611,262.4,277.43,896.14,2454.86,229.73,951.86
612,307,289.00,785.60,2899.20,229.31,905.40
613,253.2,263.00,786.33,1984.00,110.50,1029.17
614,326.8,291.00,789.50,2896.00,232.05,890.33
615,263.8,263.85,785.54,1979.08,123.08,1020.46
616,320.4,290.57,788.43,2907.43,228.46,913.86
617,280.8,283.29,899.71,2825.14,225.96,830.71
618,253.9,262.33,785.00,1984.00,128.67,1013.33
619,305.6,280.60,897.20,2784.00,223.67,828.60
620,253.9,263.75,787.63,1992.00,135.25,1011.88
621,312.7,290.80,789.20,2905.60,232.13,891.87
622,296.4,290.25,786.50,2904.00,225.17,922.88
623,244,251.00,794.00,1992.00,93.25,1045.25
624,213.6,256.86,894.71,2537.14,229.30,836.00
625,256.1,287.86,859.00,2880.00,226.81,863.86
626,334.6,290.00,751.43,2893.71,220.18,987.00
627,204.4,248.00,752.57,1710.57,58.29,1081.29
628,186,253.54,791.38,1993.85,86.62,1047.08
629,209.4,213.71,887.14,2125.71,213.84,920.71
630,200.9,253.54,790.77,1993.85,115.08,1019.85
631,171.9,207.00,887.25,2064.00,218.03,915.25
632,173.3,208.40,885.40,2073.60,218.42,922.00
633,214.3,251.00,757.29,2509.71,228.35,966.00
634,219.3,254.38,793.00,1992.00,124.00,1019.50
635,302,285.86,784.57,2838.86,233.74,888.00
636,195.9,208.29,932.71,2084.57,194.31,947.43
637,298.5,286.17,777.00,2848.00,233.33,893.33
638,175.4,252.17,792.17,1984.00,136.33,1004.17
639,308.4,285.27,772.55,2845.09,234.23,881.27
640,218.6,248.73,757.82,2478.55,224.64,980.91
641,256.8,282.18,771.27,2827.64,232.87,906.73
642,215,247.14,884.57,2468.57,231.25,830.86
643,332.5,287.71,775.86,2825.14,232.94,902.00
644,164.8,207.00,889.50,2064.00,218.95,903.50
645,217.2,247.50,790.83,1984.00,123.50,1012.00
646,328.9,283.00,772.50,2832.00,232.67,900.67
647,249.7,248.14,757.14,2482.29,230.15,955.29
648,200.2,207.20,887.00,2054.40,221.84,886.00
649,240.5,249.14,768.43,2482.29,231.74,940.57
650,195.2,272.00,822.00,2717.23,237.31,909.33
651,369.2,424.25,910.88,3392.47,240.58,716.63
652,382,422.38,910.25,3392.47,240.63,717.13
653,311.2,339.00,890.29,3375.04,234.00,808.00
654,322.6,339.00,888.57,3375.04,244.78,912.43
655,210.1,249.20,888.20,2499.20,228.37,901.80
656,202.3,249.14,887.86,2496.41,228.26,900.00
657,239.1,223.33,793.56,2288.89,223.20,993.78
658,341.7,315.86,874.00,3042.86,220.30,888.43
659,303.5,262.86,803.00,2628.57,225.11,940.71
660,309.1,298.18,841.27,2520.00,133.64,933.09
661,311.2,261.43,827.29,2628.57,225.69,941.86
662,285.1,213.67,866.33,2133.33,209.91,987.33
663,285.8,291.67,758.00,833.33,124.17,993.17
664,295,255.67,805.00,2583.33,220.57,974.33
665,133,153.00,865.75,1525.00,206.00,1039.75
666,143.6,160.57,877.00,1585.71,213.31,1013.43
667,251.8,296.33,848.83,2520.00,122.67,994.67
668,261.7,257.71,811.29,2571.43,220.75,967.00
669,219.3,220.67,795.43,2219.05,218.36,1000.29
670,216.5,211.14,880.43,2128.57,209.63,989.57
671,334.6,302.46,875.69,3046.15,218.93,883.38
672,116,151.50,875.70,1510.00,206.03,1024.70
673,176.1,158.00,863.60,1586.67,215.37,992.40
674,261.7,296.25,832.00,2520.00,139.88,921.75
675,313.4,306.43,869.57,3042.86,220.30,878.57
676,300.6,297.67,841.67,2520.00,136.83,932.50
677,222.1,222.33,789.17,2233.33,217.77,1043.33
678,133,224.71,783.71,2228.57,217.89,1033.43
679,331.7,301.78,871.78,3044.44,217.75,887.11
680,424.4,380.40,862.70,3800.00,224.66,807.40
681,314.1,307.71,828.29,3042.86,222.66,909.00
682,209.4,214.38,778.88,2150.00,220.31,1034.25
683,151.4,173.50,862.00,1733.33,207.28,1015.83
684,162,176.43,864.00,1771.43,211.81,1001.43
685,391.2,283.57,915.29,2828.57,210.45,864.00
686,263.8,280.71,815.71,2814.29,231.06,911.71
687,311.9,232.71,907.00,2300.00,207.52,896.29
688,235.5,214.29,866.00,2128.57,220.36,956.29
689,152.1,175.43,871.29,1771.43,210.26,1006.14
690,380.6,299.11,897.78,2977.78,220.15,878.22
691,297.1,277.17,756.83,833.33,132.17,971.83
692,372.8,388.57,870.71,3871.43,235.07,759.86
693,328.2,287.00,841.71,2520.00,125.43,945.86
694,259.6,250.50,799.33,1723.33,123.83,1048.00
695,295.7,301.80,866.20,2960.00,219.39,879.20
696,138,203.71,864.57,2042.86,212.85,981.14
697,110.3,174.71,863.43,1728.57,206.79,1031.71
698,369.9,389.71,875.14,3871.43,235.55,761.57
699,222.8,214.86,781.29,2142.86,218.11,1035.71
700,205.1,211.86,865.57,2128.57,221.77,948.57
701,262.4,241.43,940.29,2385.71,193.07,1048.57
702,354.4,295.78,864.67,2977.78,219.36,890.89
703,170.5,173.71,861.43,1742.86,207.05,1020.00
704,345.9,284.14,840.57,2520.00,130.00,933.43
705,262.4,256.71,725.00,2542.86,220.01,1120.86
706,261,294.86,811.57,2928.57,243.38,1021.86
707,256.8,229.40,889.40,2280.00,216.85,917.20
708,335.3,302.86,752.86,3014.29,232.04,925.86
709,254.6,253.43,733.00,2514.29,234.56,989.29
710,222.8,199.33,856.00,1966.67,215.56,952.33
711,368.5,295.38,845.13,2962.50,214.11,937.88
712,163.4,174.57,845.14,1728.57,206.81,1033.29
713,224.9,205.00,847.14,2042.86,209.36,1012.00
714,282.2,230.00,916.29,2300.00,205.85,938.57
715,245.5,216.91,765.82,2145.45,215.52,1064.00
716,270.2,269.71,782.71,2700.00,224.26,970.14
717,263.1,298.57,669.43,1485.71,145.43,972.29
718,261,254.13,786.50,2550.00,224.74,977.38
719,183.2,225.33,769.33,2200.00,224.09,1015.83
720,148.5,173.29,844.29,1728.57,207.62,1033.00
721,262.5,302.40,844.93,3026.67,222.42,894.67
722,355.8,245.57,793.86,1718.57,116.71,1048.29
723,256.1,203.82,847.09,2054.55,211.51,1005.45
724,253.9,250.17,780.17,2500.00,221.98,986.33
725,358.6,297.00,844.86,2971.43,220.19,895.29
726,258.2,252.29,848.86,2514.29,204.62,1118.57
727,275.9,237.50,847.83,2383.33,212.88,974.00
728,95.5,148.14,846.29,1471.43,209.05,1052.43
729,296.4,267.86,788.43,2657.14,220.91,975.14
730,193.1,212.50,752.17,2100.00,218.67,1055.00
731,150,172.00,846.14,1728.57,213.92,1012.86
732,195.9,213.27,756.73,2109.09,219.42,1042.00
733,323.3,245.00,775.00,2457.14,221.92,994.71
734,312.7,396.21,598.00,6800.00,212.63,1164.74
735,182.5,206.00,841.57,2042.86,214.98,988.00
736,334.6,245.07,768.93,2453.33,220.92,995.60
737,240.5,240.22,770.67,2466.67,220.39,1001.78
738,248.3,227.14,896.29,2271.43,208.10,932.71
739,159.2,210.00,755.50,2100.00,219.28,1043.50
740,269.5,235.50,841.50,2350.00,214.11,972.25
741,148.5,170.57,844.00,1685.71,209.03,1018.00
742,321.1,294.57,845.14,2928.57,220.64,885.00
743,266.7,247.54,773.38,2461.54,221.75,990.92
744,273.7,233.14,764.86,2300.00,222.95,1011.71
745,190.3,170.25,845.25,1700.00,209.24,1026.00
746,266,224.57,894.86,2271.43,209.23,928.00
747,279.4,251.00,884.08,2510.00,219.68,913.34
748,246.2,259.13,784.00,1225.00,126.00,1043.25
749,238.4,218.00,801.80,2175.60,214.86,1019.40
750,270.2,293.91,828.27,1389.82,121.91,942.64
751,197.4,207.75,879.63,2070.25,208.75,967.25
752,298.5,208.25,878.63,2070.25,210.04,956.50
753,295,251.86,816.29,2520.00,223.00,941.86
754,249.7,208.60,876.80,2077.60,210.98,950.40
755,264.6,253.22,816.33,2515.33,221.46,940.89
756,205.8,217.29,775.29,2170.00,217.68,1018.14
757,203,237.00,836.67,2156.00,224.91,1000.83
758,210.8,218.71,754.57,2170.00,216.33,1035.71
759,232.7,222.29,745.00,2212.00,221.00,1032.29
760,252.5,329.14,785.00,0.00,203.71,959.00
761,306.3,293.55,830.27,1389.82,133.27,932.91
762,297.8,295.64,828.18,1389.82,143.55,921.91
763,194.5,264.40,917.40,744.80,133.80,844.00
764,420.9,389.91,850.64,3884.36,233.83,774.27
765,296.4,273.24,784.86,2716.00,220.22,967.05
766,284.4,285.24,801.90,2828.00,228.27,913.71
767,210.1,218.67,766.48,2165.33,217.31,1028.57
768,197.4,216.73,848.73,2147.09,218.07,955.64
769,139.3,176.00,855.14,1750.00,205.78,1024.00
770,288.6,285.73,834.00,1389.82,121.73,939.27
771,217.2,216.73,852.73,2147.09,219.33,949.91
772,263.8,251.36,854.73,2494.55,219.38,923.27
773,258.9,250.71,853.86,2492.00,221.02,926.00
774,115.3,151.25,851.92,1502.67,208.06,1031.50
775,190.3,218.00,850.57,2142.00,217.46,959.29
776,261,261.80,840.40,2587.20,205.31,1071.80
777,285.8,284.36,834.55,1389.82,116.09,944.91
778,282.9,242.13,851.75,2401.00,211.35,949.88
779,149.3,180.29,852.14,1792.00,209.33,1012.71
780,377,284.19,836.29,1390.67,122.00,939.24
781,278,248.00,785.86,1218.00,122.14,1039.86
782,280.8,258.29,803.71,2566.67,225.27,944.00
783,277.3,252.57,791.71,2520.00,221.34,960.57
784,212.2,248.10,790.00,1222.67,121.62,1040.67
785,206.5,223.14,783.00,2212.00,221.61,997.86
786,238.4,222.43,786.86,2212.00,220.73,993.86
787,263.8,253.29,794.29,2520.00,221.70,958.43
788,430.8,391.86,870.86,3878.00,233.36,762.71
789,262.4,253.14,794.43,2520.00,222.47,952.43
790,281.5,258.19,804.57,2566.67,225.00,934.29
791,295.7,258.71,809.71,2562.00,226.84,928.57
792,212.9,246.33,788.00,1225.00,121.67,1041.67
793,238.4,284.00,835.39,1389.04,127.30,934.35
794,200.9,250.91,924.73,748.36,134.18,844.64
795,164.1,175.71,860.14,1750.00,208.07,996.57
796,297.8,251.57,802.57,2520.00,222.05,956.86
797,332.5,246.80,862.20,2391.20,211.39,939.00
798,176.9,251.29,869.71,2492.00,219.83,916.43
799,321.1,243.00,867.43,2394.00,209.72,961.29
800,314.1,315.57,835.29,3153.86,225.86,900.14
801,324.7,318.86,799.43,3153.86,226.35,896.86
802,281.5,247.57,908.86,2489.14,220.81,887.00
803,284.4,248.86,883.86,2489.14,214.72,932.71
804,295,248.57,884.57,2489.14,218.02,911.14
