DATE,PRICE
2014-12-17,470.7510
2014-12-18,479.7540
2014-12-19,480.7440
2014-12-22,489.4500
2014-12-23,482.9700
2014-12-24,478.8140
2014-12-26,480.0010
2014-12-29,489.7960
2014-12-30,488.5100
2014-12-31,490.2910
